Name,Area
 Alaska,"1,723,337"
 Texas,"695,662"
 California,"423,967"
 Montana,"380,831"
 New Mexico,"314,917"
 Arizona,"295,234"
 Nevada,"286,380"
 Colorado,"269,601"
 Oregon,"254,799"
 Wyoming,"253,335"
 Michigan,"250,487"
 Minnesota,"225,163"
 Utah,"219,882"
 Idaho,"216,443"
 Kansas,"213,100"
 Nebraska,"200,330"
 South Dakota,"199,729"
 Washington,"184,661"
 North Dakota,"183,108"
 Oklahoma,"181,037"
 Missouri,"180,540"
 Florida,"170,312"
 Wisconsin,"169,635"
 Georgia,"153,910"
 Illinois,"149,995"
 Iowa,"145,746"
 New York,"141,297"
 North Carolina,"139,391"
 Arkansas,"137,732"
 Alabama,"135,767"
 Louisiana,"135,659"
 Mississippi,"125,438"
 Pennsylvania,"119,280"
 Ohio,"116,098"
 Virginia,"110,787"
 Tennessee,"109,153"
 Kentucky,"104,656"
 Indiana,"94,326"
 Maine,"91,633"
 South Carolina,"82,933"
 West Virginia,"62,756"
 Maryland,"32,131"
 Hawaii,"28,313"
 Massachusetts,"27,336"
 Vermont,"24,906"
 New Hampshire,"24,214"
 New Jersey,"22,591"
 Connecticut,"14,357"
 Delaware,"6,446"
 Rhode Island,"4,001"
 District of Columbia,"177"
